Aar;InstNr;InstNavn;OptNr;OptNavn;OptMaend;OptKvinder;AngMaend;AngKvinder;Adgangskvotient ;Kvotient ;Placering
2015;1000;KU;10110;Medicin;195;364;510;1017;11,2;11,2;13
2015;1000;KU;10115;Folkesundhedsvidenskab;7;63;12;77;9,3;9,3;173
2015;1000;KU;10117;Farmaci;77;163;96;186;7,8;7,8;32
2015;1000;KU;10120;Odontologi;24;74;59;234;10,4;10,4;33
2015;1000;KU;10140;Veterin_rmedicin;18;165;66;443;10,9;10,9;79
2015;1000;KU;10150;It og sundhed;26;27;21;17;alle optaget, ledige pladser;0;139
2015;1000;KU;10160;PB Tandplejer;6;68;19;186;8,3;8,3;
2015;1000;KU;10205;Biokemi;39;88;48;73;7,9;7,9;77
2015;1000;KU;10220;Datalogi;148;20;168;19;6,4;6,4;42
2015;1000;KU;10221;Forsikringsmatematik;36;17;60;34;10,6;10,6;3
2015;1000;KU;10230;Fysiske fag;123;50;119;53;3,7;3,7;54
2015;1000;KU;10234;Biologi - Bioteknologi;24;47;26;45;7,4;7,4;66
2015;1000;KU;10237;Husdyrvidenskab;9;65;1;58;7,6;7,6;66
2015;1000;KU;10238;Jordbrugsèkonomi;28;25;26;24;5,7;5,7;66
2015;1000;KU;10240;Landskabsarkitektur;16;51;25;62;7,8;7,8;114
2015;1000;KU;10242;Fèdevarer og ern_ring;36;71;33;70;alle optaget, ledige pladser;0;69
2015;1000;KU;10244;Naturressourcer;38;47;35;47;alle optaget, ledige pladser;0;31
2015;1000;KU;10246;PB Skov-og landskabsingenièr;55;8;85;14;8,8;8,8;31
2015;1000;KU;10250;Biologi;79;137;96;139;6,7;6,7;91
2015;1000;KU;10270;Geografi og geoinformatik;32;66;28;59;alle optaget, ledige pladser;0;89
2015;1000;KU;10275;Geologi-geoscience;30;24;33;25;alle optaget, ledige pladser;0;65
2015;1000;KU;10285;Idr_t;65;61;159;110;8,9;8,9;107
2015;1000;KU;10286;Kemi;48;45;41;39;alle optaget, ledige pladser;0;58
2015;1000;KU;10287;Matematik;100;58;79;49;alle optaget, ledige pladser;0;50
2015;1000;KU;10288;Matematik-èkonomi;39;24;43;31;8,8;8,8;14
2015;1000;KU;10289;Molekyl_r biomedicin;21;37;40;86;12,1;12,1;66
2015;1000;KU;10290;Nanoscience;45;23;41;19;4,5;4,5;66
2015;1000;KU;10302;Mellemèsten (arabisk);15;33;27;55;7,1;7,1;195
2015;1000;KU;10304;Audiologop_di;3;35;6;77;9;9;119
2015;1000;KU;10306;Dansk;55;170;41;125;6,2;6,2;123
2015;1000;KU;10308;Engelsk;62;131;66;126;6,6;6,6;117
2015;1000;KU;10310;Eskimologi;5;9;4;10;alle optaget, ledige pladser;0;213
2015;1000;KU;10312;Europ_isk etnologi;14;52;29;64;7,5;7,5;181
2015;1000;KU;10314;Film- og medievidenskab;31;68;133;189;10,7;10,7;169
2015;1000;KU;10316;Filosofi;63;21;93;29;8,5;8,5;176
2015;1000;KU;10318;Finsk;3;2;3;2;alle optaget, ledige pladser;0;195
2015;1000;KU;10322;Forhistorisk ark_ologi;14;20;22;28;7,1;7,1;213
2015;1000;KU;10324;Fransk sp,litteratur og kultur;9;37;9;33;alle optaget, ledige pladser;0;112
2015;1000;KU;10326;Gr_sk, klassisk;10;3;5;4;alle optaget, ledige pladser;0;195
2015;1000;KU;10328;Àst- og syd (gr_kenland);1;1;1;1;alle optaget, ledige pladser;0;195
2015;1000;KU;10330;Mellemèsten (hebraisk);3;2;3;3;alle optaget, ledige pladser;0;195
2015;1000;KU;10332;Historie;106;85;150;100;7,4;7,4;73
2015;1000;KU;10334;Indianske sprog og kulturer;6;4;4;6;alle optaget, ledige pladser;0;195
2015;1000;KU;10335;Asienstudier (indologi);2;4;2;8;alle optaget, ledige pladser;0;195
2015;1000;KU;10336;Indoeurop_isk;5;5;5;4;alle optaget, ledige pladser;0;195
2015;1000;KU;10338;Italiensk;9;22;8;19;alle optaget;0;195
2015;1000;KU;10340;Asienstudier (japanstudier);14;13;35;28;8,2;8,2;195
2015;1000;KU;10341;Moderne Indien og Sydèstasien;6;9;4;10;alle optaget, ledige pladser;0;195
2015;1000;KU;10342;Asienstudier (kinastudier);23;30;24;30;6,3;6,3;195
2015;1000;KU;10344;Klassisk ark_ologi;5;15;10;19;6,9;6,9;213
2015;1000;KU;10345;Kommunikation og it;28;53;39;48;7,8;7,8;131
2015;1000;KU;10346;Asienstudier (koreastudier);3;14;8;34;6,5;6,5;195
2015;1000;KU;10348;Kunsthistorie;12;54;21;106;9,4;9,4;196
2015;1000;KU;10350;Latin;5;8;2;6;alle optaget, ledige pladser;0;213
2015;1000;KU;10352;Litteraturvidenskab;16;50;29;92;10,5;10,5;175
2015;1000;KU;10354;Musikvidenskab;51;33;79;41;alle optaget, ledige pladser;0;141
2015;1000;KU;10360;Mellemèsten(ass,n_ror ark,_g);8;30;8;20;3,8;3,8;195
2015;1000;KU;10362;Mellemèsten (persisk);8;8;6;6;alle optaget, ledige pladser;0;195
2015;1000;KU;10364;Àst- og sydèsteuropa (polsk);0;6;0;6;alle optaget, ledige pladser;0;195
2015;1000;KU;10366;Portugisisk og brasilianske st;13;13;10;10;alle optaget, ledige pladser;0;195
2015;1000;KU;10368;Psykologi;44;187;218;800;11,4;11,4;96
2015;1000;KU;10370;P_dagogik;8;69;23;64;8,2;8,2;102
2015;1000;KU;10372;Religionsvidenskab;22;53;24;56;7,6;7,6;158
2015;1000;KU;10374;Retorik;15;27;90;114;10;10;131
2015;1000;KU;10376;Àst- og sydèst (russisk);12;15;21;25;7;7;195
2015;1000;KU;10378;Spansk sprog og kultur;17;46;28;58;6,8;6,8;195
2015;1000;KU;10380;Lingvistik;8;25;12;32;8,2;8,2;213
2015;1000;KU;10382;Teatervidenskab;7;30;10;63;9,6;9,6;213
2015;1000;KU;10384;Asienstudier (thai/sydèst);7;6;7;8;3,4;3,4;195
2015;1000;KU;10386;Asienstudier (tibetologi);1;2;0;2;alle optaget, ledige pladser;0;195
2015;1000;KU;10389;Mellemèsten (tyrkisk);4;8;3;8;alle optaget, ledige pladser;0;195
2015;1000;KU;10390;Tysk;24;28;18;20;alle optaget, ledige pladser;0;100
2015;1000;KU;10392;Àst- og sydèsteuropa (balkan);2;9;3;7;alle optaget, ledige pladser;0;195
2015;1000;KU;10395;Info.vid.&Kul, Kbh;64;119;44;65;alle optaget, ledige pladser;0;185
2015;1000;KU;10397;Info.vid.&Kul, Aalborg;9;19;8;19;alle optaget, ledige pladser;0;185
2015;1000;KU;10410;Jura;323;499;522;812;9,4;9,4;19
2015;1000;KU;10415;Samfundsfag;15;29;45;47;9,9;9,9;47
2015;1000;KU;10420;Statskundskab;113;151;235;232;10,8;10,8;48
2015;1000;KU;10430;Àkonomi;239;91;232;92;7;7;5
2015;1000;KU;10435;Sociologi;24;110;52;166;10,1;10,1;125
2015;1000;KU;10440;Antropologi;27;78;72;203;11;11;181
2015;1000;KU;10500;Teologi;61;67;64;60;alle optaget, ledige pladser;0;213
2015;1300;CBS;13010;Erhvervsèkonomi, HA;410;240;705;399;9,1;9,1;30
2015;1300;CBS;13015;Erhv.èkon.-inf.tekn., HA (it.);80;20;99;13;8;8;36
2015;1300;CBS;13020;Erhv.èkon.-erhv.ret,HA (jur.);109;91;133;129;8,7;8,7;34
2015;1300;CBS;13025;Erhv.èkon.-matematik,HA (mat.);61;34;77;44;8,1;8,1;20
2015;1300;CBS;13030;Erhv.èkon.-filosofi, HA (fil.);35;25;49;18;9,1;9,1;95
2015;1300;CBS;13035;Erhv.èkon.-virk.kom.,HA (kom.);50;90;77;132;9,4;9,4;97
2015;1300;CBS;13040;Erhv.èkon.-psyk HA (psyk.);46;94;105;191;9,8;9,8;137
2015;1300;CBS;13045;Erhv.èkon. HA (projektledelse);46;34;203;127;11,3;11,3;30
2015;1300;CBS;13050;Europ_isk business;77;73;91;77;9,2;9,2;212
2015;1300;CBS;13055;Business, Lang.&Culture(SPRÀK);59;98;75;141;8,4;8,4;61
2015;1300;CBS;13060;International Business;99;76;419;273;12,3;12,3;103
2015;1300;CBS;13070;Internat. Business and Politic;61;66;154;134;11,7;11,7;214
2015;1300;CBS;13075;Business Adm.&Sociology;21;38;51;89;10,8;10,8;179
2015;1300;CBS;13080;Business Adm and Ser Man;89;107;125;161;8,6;8,6;204
2015;1300;CBS;13085;Asian Studies Prg,Japanese/Eng;16;17;20;21;7,3;7,3;209
2015;1300;CBS;13090;Asian Studies Prg,Chinese/Eng.;33;29;44;46;8,3;8,3;208
2015;1300;CBS;13240;Engelsk og organisationskomm.;23;87;45;119;8,9;8,9;98
2015;1300;CBS;13265;Interkul markedskomm.;37;123;111;250;10,2;10,2;188
2015;1300;CBS;13270;Information Management;23;32;25;35;8;8;136
2015;1300;CBS;13280;Internat Shipping&Trade;30;18;77;38;10,9;10,9;39
2015;1450;ITU;14505;Digitale medier og design;36;39;83;60;8,9;8,9;202
2015;1450;ITU;14510;Softwareudvikling;85;12;147;12;8,4;8,4;139
2015;1450;ITU;14515;Global Business Informatics;51;18;91;20;7,3;7,3;131
2015;1500;DTU;15010;Civiling. Bioteknologi;32;31;38;31;9;9;45
2015;1500;DTU;15015;Civiling. Byggeteknologi;47;25;81;33;8,8;8,8;41
2015;1500;DTU;15017;Civiling. Bygningsdesign;25;38;24;41;8,1;8,1;45
2015;1500;DTU;15020;Civiling. Design og innovation;36;30;70;48;9,9;9,9;194
2015;1500;DTU;15025;Civiling. Elektroteknologi;68;4;102;5;8,2;8,2;25
2015;1500;DTU;15030;Civiling. Fysik og nanotekn.;51;15;76;16;9;9;45
2015;1500;DTU;15033;Civiling. geofysik og rumtekn.;48;15;67;20;7,8;7,8;45
2015;1500;DTU;15035;Civiling. Kemi og teknologi;43;23;61;34;9;9;26
2015;1500;DTU;15040;Civiling. Netv_rk & IT;38;2;21;2;5,1;5,1;75
2015;1500;DTU;15045;Civiling. Matematik og tekn.;56;16;82;16;8,7;8,7;45
2015;1500;DTU;15050;Civiling. Medicin og tekn.;26;37;38;37;9,8;9,8;45
2015;1500;DTU;15055;Civiling.Vand,bio & miljèmang;29;31;35;28;6,7;6,7;45
2015;1500;DTU;15060;Civiling. Produktion og konstr;63;9;96;10;9,8;9,8;134
